Row	BRCA_H_TCGA_BH_A1FR_11B_42R_A13Q_07	BRCA_H_TCGA_A7_A0DB_11A_33R_A089_07	BRCA_H_TCGA_BH_A0DD_11A_23R_A12P_07	BRCA_H_TCGA_A7_A13E_11A_61R_A12P_07	BRCA_H_TCGA_AC_A2FF_11A_13R_A17B_07	BRCA_H_TCGA_E2_A1LB_11A_22R_A144_07	BRCA_H_TCGA_BH_A1FN_11A_34R_A13Q_07	BRCA_H_TCGA_BH_A0DL_11A_13R_A115_07	BRCA_H_TCGA_E9_A1RD_11A_33R_A157_07	BRCA_H_TCGA_A7_A0DB_11A_33R_A089_07_1
OASL	3.14899684945088	2.09898603222133	3.10347372173466	1.17710204882806	2.71738791016655	2.64851954486337	3.84978544762329	3.92443710974931	3.20653589921444	2.09898603222133
OAT	118.061703947358	49.6671137395826	50.155241130202	61.4869534077426	125.064364255498	206.74705016692	106.238723286207	104.530716519048	63.1860275703777	49.6671137395826
OAZ1	406.689661891303	457.669121521944	345.913160828603	388.615230290293	366.985334441849	341.603554909472	332.809293076436	334.837603220795	324.058696614385	457.669121521944
OAZ2	62.6125604684505	50.1216925845652	48.7465333190819	49.1617745158776	62.1802369320836	57.5380849322663	55.0824478279555	60.1881797392909	46.8573146195214	50.1216925845652
OAZ3	3.51025648151333	2.52168006200767	1.69253965309324	2.9590134376617	4.33089512009286	2.93263789382892	2.76119092205648	4.71882700476096	1.52409609531884	2.52168006200767
OBFC1	6.56225597569295	4.6196398990323	5.56000320657486	6.0273504864927	6.71175445731084	7.46747858482202	7.84531069395661	7.03245201257857	5.66256407413159	4.6196398990323
OBFC2A	9.49883423915975	6.29762558490204	4.44344340076575	6.55459602240366	5.05370441793378	2.36304198062464	6.65452780907171	7.25757590843667	5.6136789223187	6.29762558490204
OBFC2B	16.5111780056021	14.7506463181258	13.2292330272644	16.6253352081503	22.0045218636262	19.3995549639149	19.2841793195788	16.1288269214789	12.9039498357522	14.7506463181258
OBP2A	0.6022157383053	0	0	0.0330779379437834	2.17201904624264	2.43613826060546	0.042460311393017	0.325403872371125	0.082837113233385	0
OBP2B	1.35498541118692	0.033400550637757	0.13894669684773	0.3969352553254	7.21937759179696	12.4930167210536	0.403372958233661	2.09188203667152	0.476313401091964	0.033400550637757
OBSCN	2.76193056836457	0.202158562677642	0.359464021486109	0.560753784778165	2.1533714272985	4.21484650914809	0.885830660173568	3.22319664730734	0.777021749484403	0.202158562677642
OBSL1	11.9630052940853	5.57056449549953	5.96908133945016	6.287413523194	12.064247520313	20.9335435263724	7.22431410978631	13.5050274871952	8.73577423069729	5.57056449549953
OC90	0.0145527021497037	0	0	0.01278939351474	0	0	0	0	0.0160142455156572	0
OCA2	0.322302005736172	0.00733364543958399	0.176946714449618	0.123467777927194	0.145341818967367	0.514321732839744	0.787782205053265	0.285791291349528	0.104582515408656	0.00733364543958399
OCEL1	13.5012794235366	17.0013394939213	23.990605450613	14.8108210480991	11.7965918025721	14.2409512191153	9.9885839319856	13.0934473689161	15.8250396268425	17.0013394939213
OCIAD1	58.0154454369371	44.5161020693178	42.7273724324666	54.4748531655098	55.7635331413272	61.2633405763623	73.0187080004482	53.9631610035712	51.5006804949444	44.5161020693178
OCIAD2	27.799813578537	11.4462462931643	13.0318907190065	17.2123474651373	44.8657853463118	49.0379113701674	45.2421009169834	33.5801828195639	18.4895364226519	11.4462462931643
OCLM	0.498709908284076	0.338426167491391	0.541483450950714	0.232032005870363	0.38694793092726	0.38948816836226	0.231658463629549	0.923914566196587	0.209833716977214	0.338426167491391
OCLN	2.91824167742872	0.335955903495103	0.331925402998839	0.925352295917308	3.06465193448862	4.40790618823207	1.84179348899217	2.06513263944671	0.820189455775899	0.335955903495103
OCM	0.149039742705586	0.231452378916526	0.137549244436905	0.0982357726002877	0.14334493513996	0.309184214109409	0.126099804093917	0.322131132275438	0.205009953368543	0.231452378916526
OCM2	0.0441787312278909	0	0.0326181513213241	0	0.0242803784028746	0.0733193230051615	0.0249192117119154	0.0272819746974574	0.0243078241132037	0
OCRL	11.4821328204543	12.3057375237149	12.7942894876651	12.8501691891605	12.352790908256	12.6843993627321	10.1377000438344	12.3231631623241	13.3108022435775	12.3057375237149
ODAM	0.181208258600115	0	0	0.0707785690784681	1.39427433806942	0.417686748874513	0.306633995669369	0.69628344119163	0.321267150527225	0
ODC1	22.5246610952049	29.7539297052276	23.2417932243065	27.2559962821997	41.2301902815894	30.160305316597	43.237188889661	25.2178194333813	27.5547694220282	29.7539297052276
ODF1	0	0	0.0192624294020294	0	0	0	0	0	0.0143548216845579	0
ODF2	9.94957558226491	6.98295507084684	6.12494533096787	6.36695527100519	12.9185099427442	12.4351970041884	8.03448494630074	11.0892555955922	7.22093893765653	6.98295507084684
ODF2L	6.18767132070961	4.98241139307214	3.12752674249381	3.85656245887453	5.156126525845	4.69558653661645	5.40481181645378	6.17960969109512	4.27553627737284	4.98241139307214
ODF3	0	0	0	0.0177497657657841	0.0111001418399435	0.0167595181479867	0.0113921941393258	0.0249447338744665	0.0333380671832957	0
ODF3B	11.0415401961947	10.1541805965664	10.5603786924796	6.86070533921019	10.0502744038983	14.7972377406638	12.0941412107889	19.1348739091189	8.78186554062576	10.1541805965664
ODF3L1	0.630389389515831	1.00308040926199	1.47653867892438	1.16532494035144	0.215043150213557	0.613288788154657	0.711147931218669	0.429559608312691	0.705660412835359	1.00308040926199
ODF3L2	0.129341223096119	0.100430708058542	0.0835585933786289	0.412051295545346	0.115513446129885	0.0804958402818512	0.136791558056992	0.079872913453404	0.480367461808186	0.100430708058542
ODF4	0	0.0200287026887855	0	0	0.0868303523563201	0.0561859564021277	0.0381921077673482	0.0139377886400413	0.0372550724659284	0.0200287026887855
ODZ1	0.299697849172809	0.928158635111733	0.745499195102758	0.447223059687155	0.438864120268944	0.278733417935041	0.260943362539805	0.372632881736	0.465921015250422	0.928158635111733
ODZ2	1.13464906452937	0.0572640233640176	0.136975944320123	1.78166793462137	4.89419927316519	6.31855207126036	1.47564880129313	2.80274840029278	1.07551473639042	0.0572640233640176
ODZ3	2.0367294200671	7.39991825694774	6.79084564305426	4.46959134095518	0.536614331531209	0.437948999670978	1.24084073645496	2.79402248954769	4.37828435397896	7.39991825694774
ODZ4	0.69866504718274	1.20432553787237	4.73018328176417	5.18964475682594	1.8851953914598	0.238255328853132	0.437272571326558	1.41255907743962	2.2991257959083	1.20432553787237
OFD1	15.1364125874487	4.35551047879635	5.09743711051766	7.07878743956847	13.4601213799881	19.0024567180761	15.3287073825653	15.6899301534584	9.20371718343771	4.35551047879635
OGDH	27.1331162662457	47.1861172439153	49.0420577010696	44.6302164106781	31.5794815457758	26.4410762568352	21.0074978590476	29.080910906315	39.1858396884622	47.1861172439153
OGDHL	0.227481712550631	0.0489377552140661	0.0101790828419018	0.0302906688507001	0.128811215354751	0.171604635582256	0.0505471835655573	0.0553399119926362	0.0151713904885173	0.0489377552140661
OGFOD1	13.0952634857375	10.7749512770305	12.0904146200172	15.0026192369584	17.2588386827604	12.5053752930583	14.9278785302068	14.4820039044933	12.6953567653009	10.7749512770305
OGFOD2	4.84995385806264	3.14215680124699	3.70970312246334	3.56104675676043	4.91988171343556	7.88348395775738	2.33478637272352	5.39720092419839	3.5260134979748	3.14215680124699
OGFR	12.2163319682149	16.0235001120511	12.4533675601329	7.42110372053479	13.4810580489147	22.2128160381955	8.19023438325696	24.3195693664143	10.9373657270685	16.0235001120511
OGFRL1	31.9541208360776	16.2148923743806	21.9638633516851	22.4763447709458	29.168646516194	48.6284931951279	27.1955244162547	37.974658621956	21.5916482887749	16.2148923743806
OGG1	6.90083911103963	5.41100676949276	5.38484231104124	5.72775757116947	7.23415115122381	7.44575661382634	6.06006985306253	6.58957158863758	6.06708231164248	5.41100676949276
OGN	88.4779996657313	64.8070110813086	38.0002951821103	62.2787252552392	47.144586120846	6.19545888805972	75.1267027173576	65.2851427779706	53.1063344610542	64.8070110813086
OGT	44.2590942902412	23.8147814805087	25.1402884047415	23.7967826465631	37.9843533034551	49.3034329721465	33.0548024956934	53.1499747114068	35.9372201497079	23.8147814805087
OIP5	0.839252920089707	0.781994445271369	0.32531064024107	0.792880313479345	1.82193201889402	1.47988172384407	1.18346094457074	1.21793268596788	0.611845239470777	0.781994445271369
OIP5-AS1	14.5410538411192	12.4299249817165	15.7097214355909	14.3915925527703	13.2141152096557	14.304487655352	9.0978278932553	14.6447450703853	12.6414289556326	12.4299249817165
OIT3	0.208693515198927	0.0487356615616573	0.0324385511658064	0.0482649285117889	0.114696764221627	0.0820300684956095	0.0123910015035107	0.0203488172139867	0.0362609726923775	0.0487356615616573
OLA1	11.3471387580008	10.8355419485053	7.41523050753358	10.5268335347688	16.6247405335993	20.6052966140276	17.1763218000653	13.8711617867696	10.3379234006074	10.8355419485053
OLAH	0.169681015686621	0.112931741823736	0.104399426530083	0.136694488372919	0.11656964658523	0.269870278051441	0.223321790456402	0.253228492516258	0.0622407535635793	0.112931741823736
OLFM1	10.1705651920684	11.7294279325422	13.6959845924493	9.56497158865851	10.5157332472477	3.12701184544904	17.99192004812	14.2329038922584	14.0189906312477	11.7294279325422
OLFM2	4.82148773231977	7.14750246484773	36.5240916877707	11.8178531809524	18.2886437982267	18.6630968196948	10.5875048840853	9.1732817899712	13.4329659891442	7.14750246484773
OLFM3	0	0.00664730773813246	0	0.0197493061033507	0.00411686369800329	0.0062158351536727	0.0126755435657663	0	0.136010069583151	0.00664730773813246
OLFM4	3.9445749785758	0.378425149260671	0.0590344958652125	0.577770381638143	39.5254033167302	10.5789936856428	13.2244523564393	10.8025310727117	7.95312199777015	0.378425149260671
OLFML1	15.1327448849217	18.383430659336	17.4979696356743	17.7505239369708	11.2184464863533	3.70637638684376	19.762093721025	13.057653056119	18.3040343842831	18.383430659336
OLFML2A	14.7508325165859	22.1755039926744	14.0322439111901	17.6227165249541	27.7685629059227	18.5578605723798	20.8364694025865	16.1540952317198	17.3515158220406	22.1755039926744
OLFML2B	28.8134384098862	16.4149542859938	19.3952792078484	25.9424510057058	15.9619899150262	4.15402689690794	18.6918218468428	14.7982265539335	11.9703495228001	16.4149542859938
OLFML3	100.357808665942	57.5578211079239	46.1255543483723	61.0348494618466	99.9330716736038	22.824135493427	79.9839795973964	44.9801406042124	51.4742697823178	57.5578211079239
OLIG1	0.0113790764505362	0.0100978408904847	0.00840142818149067	0.0200006136404272	0.218885640319026	0.0566543781536153	0.0320920958203035	0.0281079756865423	0.00626094460484887	0.0100978408904847
OLIG2	0.0103153998531312	0	0	0	0.0170078545614408	0.0171195077979434	0	0	0	0
OLIG3	0.011809159941153	0.0104794988112088	0	0	0.0129804937363273	0.0195985622058423	0.00666100968802111	0.0145851722653985	0.0129951664430333	0.0104794988112088
OLR1	5.56588800660447	0.201226369859746	0.152200753780741	0.344215648348226	5.73842038556429	1.36847194289443	0.273249654976166	3.57080494503005	0.584131698612245	0.201226369859746
OMA1	15.241870554702	7.94423961111797	7.46215819290688	9.47921173344882	10.3553333702934	14.8909855107185	12.4284601047033	11.9626528570996	10.2026011575825	7.94423961111797
